	Ranking	Artist	Title	Played
0	1	The Weeknd	Blinding Lights	0
1	2	Post Malone	Circles	0
2	3	Roddy Ricch	The Box	0
3	4	Dua Lipa	Don't Start Now	0
4	5	DaBaby featuring Roddy Ricch	Rockstar	0
5	6	Harry Styles	Adore You	0
6	7	Future featuring Drake	Life Is Good	0
7	8	Maroon 5	Memories	0
8	9	Maren Morris	The Bones	0
9	10	Lewis Capaldi	Someone You Loved	0
10	11	Doja Cat	Say So	0
11	12	Gabby Barrett featuring Charlie Puth	I Hope	0
12	13	Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne	Whats Poppin	0
13	14	Tones and I	Dance Monkey	0
14	15	Megan Thee Stallion featuring Beyoncé	Savage	0
15	16	Arizona Zervas	Roxanne	0
16	17	Justin Bieber featuring Quavo	Intentions	0
17	18	Billie Eilish	Everything I Wanted	0
18	19	Saint Jhn	Roses (Imanbek remix)	0
19	20	Harry Styles	Watermelon Sugar	0
20	21	Lewis Capaldi	Before You Go	0
21	22	Trevor Daniel	Falling	0
22	23	Dan + Shay and Justin Bieber	10,000 Hours	0
23	24	Cardi B featuring Megan Thee Stallion	WAP	0
24	25	Mustard and Roddy Ricch	Ballin'	0
25	26	Blackbear	Hot Girl Bummer	0
26	27	Lil Mosey	Blueberry Faygo	0
27	28	The Weeknd	Heartless	0
28	29	DaBaby	Bop	0
29	30	Selena Gomez	Lose You to Love Me	0
30	31	Lizzo	Good as Hell	0
31	32	Drake	Toosie Slide	0
32	33	Dua Lipa	Break My Heart	0
33	34	Morgan Wallen	Chasin' You	0
34	35	Jawsh 685 and Jason Derulo	Savage Love (Laxed – Siren Beat)	0
35	36	Chris Brown featuring Drake	No Guidance	0
36	37	Camila Cabello featuring DaBaby	My Oh My	0
37	38	BTS	Dynamite	0
38	39	Chris Brown and Young Thug	Go Crazy	0
39	40	Roddy Ricch featuring Mustard	High Fashion	0
40	41	Drake featuring Lil Durk	Laugh Now Cry Later	0
41	42	Lil Baby	Woah	0
42	43	Powfu featuring Beabadoobee	Death Bed	-1
43	44	Shawn Mendes and Camila Cabello	Señorita	0
44	45	Travis Scott	Highest in the Room	0
45	46	Billie Eilish	Bad Guy	0
46	47	24kGoldn featuring Iann Dior	Mood	0
47	48	Lady Gaga and Ariana Grande	Rain on Me	0
48	49	Pop Smoke featuring Lil Baby and DaBaby	For the Night	0
49	50	Black Eyed Peas and J Balvin	Ritmo (Bad Boys for Life)	0
50	51	Rod Wave	Heart on Ice	0
51	52	Blake Shelton and Gwen Stefani	Nobody but You	0
52	53	Shaed	Trampoline	0
53	54	Juice Wrld and Marshmello	Come & Go	0
54	55	Lizzo	Truth Hurts	0
55	56	JP Saxe featuring Julia Michaels	If the World Was Ending	0
56	57	Lil Baby and 42 Dugg	We Paid	0
57	58	Justin Bieber	Yummy	0
58	59	Old Dominion	One Man Band	0
59	60	Jason Aldean	Got What I Got	0
60	61	Surfaces	Sunday Best	0
61	62	Eminem featuring Juice Wrld	Godzilla	0
62	63	Juice Wrld and YoungBoy Never Broke Again	Bandit	0
63	64	StaySolidRocky	Party Girl	0
64	65	Maddie & Tae	Die from a Broken Heart	0
65	66	DJ Khaled featuring Drake	Popstar	0
66	67	Mariah Carey	All I Want for Christmas Is You	0
67	68	Lee Brice	One of Them Girls	0
68	69	Sam Hunt	Hard to Forget	0
69	70	Luke Bryan	One Margarita	0
70	71	Lil Nas X	Panini	0
71	72	Young Thug featuring Gunna	Hot	0
72	73	Carly Pearce and Lee Brice	I Hope You're Happy Now	0
73	74	Lil Baby	Emotionally Scarred	0
74	75	YNW Melly featuring Juice Wrld	Suicidal	0
75	76	Lil Baby	The Bigger Picture	0
76	77	Jonas Brothers	Only Human	0
77	78	Pop Smoke featuring 50 Cent and Roddy Ricch	The Woo	0
78	79	Lil Baby	Sum 2 Prove	0
79	80	Ariana Grande and Justin Bieber	Stuck with U	0
80	81	Pop Smoke featuring Lil Tjay	Mood Swings	0
81	82	Halsey	You Should Be Sad	0
82	83	Pop Smoke	Dior	0
83	84	Benee featuring Gus Dapperton	Supalonely	0
84	85	Luke Combs	Even Though I'm Leaving	0
85	86	The Scotts (Travis Scott and Kid Cudi)	The Scotts	0
86	87	Doja Cat and Tyga	Juicy	0
87	88	Kane Brown, Swae Lee and Khalid	Be Like That	0
88	89	Kane Brown	Homesick	0
89	90	Rod Wave featuring ATR Son Son	Rags2Riches	0
90	91	Miranda Lambert	Bluebird	0
91	92	Juice Wrld	Wishing Well	0
92	93	Luke Combs featuring Eric Church	Does to Me	0
93	94	Jhené Aiko	Pussy Fairy (OTW)	0
94	95	Surf Mesa featuring Emilee	ILY (I Love You Baby)	0
95	96	Morgan Wallen	More Than My Hometown	0
96	97	Luke Combs	Lovin' on You	0
97	98	Moneybagg Yo	Said Sum	0
98	99	H.E.R. featuring YG	Slide	0
99	100	NLE Choppa featuring Roddy Ricch	Walk Em Down	0
